Nombre del Candidato,Departamento / Ciudad,Departamento,Profesión / Formación,Trayectoria y Perfil,Estatus de Candidatura,Partido Político
Diana Carolina Corcho Mejía,Medellín,Antioquia,Médico psiquiatra y politóloga,Fue Ministra de Salud entre 2022 y 2023. Nació en 1983.,Candidata nueva,Pacto Histórico
Pedro Hernando Flórez Porras,Ibagué,Tolima,Abogado,Fue Representante por el Tolima (2010-2018) y Senador (2018-2026). Nació en 1961.,Repite candidatura,Pacto Histórico
Carmen Patricia Caicedo Omar,Santa Marta,Magdalena,Administradora pública,Fue concejal de Santa Marta y directora de Sostenibilidad Ambiental. Hermana del exgobernador Carlos Caicedo.,Candidata nueva,Pacto Histórico
"Walter Alfonso Rodríguez Chaparro ""Wally""",Sogamoso,Boyacá,Abogado,Creador de contenido político en plataformas digitales. Nació en 1990.,Candidato nuevo,Pacto Histórico
Aída Yolanda Avella Esquivel,Sogamoso,Boyacá,Psicóloga,"Dirigente sindical, fue constituyente en 1991, concejal de Bogotá en 1992 y Senadora desde 2018. Nació en 1949.",Repite candidatura (Senadora actual),Pacto Histórico
Ferney Silva Idrobo,"Santander de Quilichao, Cauca",Cauca,Contador público,Ocupó cargos administrativos en el Cauca y fue Senador (2022-2026). Nació en 1972.,Repite candidatura,Pacto Histórico
Wilson Neber Arias Castillo,Cali,Valle del Cauca,Not in source,"Fue concejal de Cali, Representante por el Valle (2010-2014) y Senador (2018-2026). Nació en 1962.",Repite candidatura,Pacto Histórico
Laura Cristina Ahumada García,Barrancabermeja,Santander,Not in source,Gestora social de Barrancabermeja y esposa del alcalde Jonathan Vásquez.,Candidata nueva,Pacto Histórico
Yuly Esmeralda Hernández Silva,Bogotá,Bogotá,Administradora pública,"Ambientalista y animalista, fue alcaldesa de Teusaquillo (2020-2021) y Senadora (2022-2026). Nació en 1986.",Repite candidatura,Pacto Histórico
Carlos Alberto Benavides,Pasto,Nariño,Antropólogo,Profesor universitario e investigador. Fue Senador (2023-2026).,Repite candidatura,Pacto Histórico
Sandra Claudia Chindoy Jamioy,"Sibundoy, Putumayo",Putumayo,Periodista y comunicadora,Pertenece al pueblo indígena Kamentsa y fue presentadora en RTVC Noticias.,Candidata nueva,Pacto Histórico
Jorge Alejandro Ocampo Giraldo,Cali,Valle del Cauca,Profesional en deporte,Representante a la Cámara por el Valle (2022-2026). Nació en 1980.,Viene de la Cámara,Pacto Histórico
Alex Xavier Flórez Hernández,Medellín,Antioquia,Abogado,Exconcejal de Medellín y Senador. Involucrado en un escándalo de suspensión por la Procuraduría.,Repite candidatura,Pacto Histórico
Kamelia Edith Zuluaga Navarro,Antioquia,Antioquia,Historiadora,Activista de la campaña de Petro en Antioquia y contratista en Colombia Compra Eficiente.,Candidata nueva,Pacto Histórico
Yaini Isabel Contreras Jiménez,Sucre,Sucre,Administradora de salud,Autoridad indígena del pueblo Zenú y ex Consejera de educación de la ONIC.,Candidata nueva,Pacto Histórico
Cristian Kevin Gómez Paz,Valle del Cauca,Valle del Cauca,Abogado,"Líder sindical, exgerente de la campaña de Francia Márquez y opositor de Dilian Francisca Toro.",Candidato nuevo,Pacto Histórico
Isabel Cristina Zuleta López,"Ituango, Antioquia",Antioquia,Socióloga,Activista ambiental y exdirectora del Movimiento Ríos Vivos. Senadora (2022-2026). Nació en 1982.,Repite candidatura,Pacto Histórico
